stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BSG,LW,LW,hauptzeichen,Alterssicherung der Landwirte und Zusatzversorgung,NA,NA
BSG,NK,NK,hauptzeichen,Normenkontrollverfahren,NA,NA
BSG,P,P,hauptzeichen,Pflegeversicherung,NA,NA
BSG,PKH,PKH,hauptzeichen,Prozesskostenhilfe,NA,NA
BSG,R,R,hauptzeichen,Gesetzliche Rentenversicherung,NA,NA
BSG,R,R,zusatz,Revisionsregister,NA,NA
BSG,RA,RA,hauptzeichen,"Rentenversicherung, Angestellte (obsolet)",NA,2005-12-31
BSG,RE,RE,hauptzeichen,Streitigkeiten aus dem Deckungsverhältnis der Rentenversicherung,NA,NA
BSG,RG,RG,hauptzeichen,Anhörungsrügen,NA,NA
BSG,RH,RH,zusatz,Anträge außerhalb eines anhängigen Revisionsverfahrens,NA,NA
BSG,RJ,RJ,hauptzeichen,"Rentenversicherung, Arbeitgeber (obsolet)",NA,2005-12-31
BSG,RS,RS,hauptzeichen,Streitigkeiten nach § 17 AAÜG und andere (Zusatz- und Sonderversorgungen),§ 17 AAÜG,NA
BSG,S,S,zusatz,Sondersachen,NA,NA
BSG,SB,SB,hauptzeichen,Schwerbehindertenrecht,NA,NA
BSG,SF,SF,hauptzeichen,Sonstige Verfahren,NA,NA
BSG,SO,SO,hauptzeichen,Sozialhilfe,NA,NA
BSG,SV,SV,hauptzeichen,Sonstige Verfahren (obsolet),NA,NA
BSG,U,U,hauptzeichen,Gesetzliche Unfallversicherung,NA,NA
BSG,ÜG,ÜG,hauptzeichen,Rechtsschutz bei überlangen Gerichtsverfahren,NA,NA
BSG,V,V,hauptzeichen,Soziales Entschädigungsrecht,NA,2010-12-31
BSG,V,V,hauptzeichen,Kriegsopferversorgung (obsolet),NA,2010-12-31
BSG,VG,VG,hauptzeichen,Opferentschädigung (obsolet),NA,2010-12-31
BSG,VH,VH,hauptzeichen,Leistungen nach dem Häftlingshilfegesetz (obsolet),NA,2010-12-31
BSG,VJ,VJ,hauptzeichen,Infektionsschutzgesetz (obsolet),NA,2010-12-31
BSG,VK,VK,hauptzeichen,Kriegsopferversorgung nach dem Bundesversorgungsgesetz (obsolet),NA,2010-12-31
BSG,VM,VM,hauptzeichen,Entschädigung für ehemalige DDR-Bürger infolge medizinischer Maßnahmen (obsolet),NA,2010-12-31
BSG,VS,VS,hauptzeichen,Soldatenversorgung (obsolet),NA,2010-12-31
BSG,VU,VU,hauptzeichen,SED-Unrechtsbereinigungsgesetz (obsolet),NA,2010-12-31
